Track,Danceability_scaled,Loudness_scaled,Cluster
Feel Good Inc.,1.1987646782735257,0.17539520467114686,1
Rhinestone Eyes,0.31285256937299893,0.3883784220057703,1
New Gold (feat. Tame Impala and Bootie Brown),0.4313901050709562,0.8530466681582763,1
Clint Eastwood,0.23174793968492238,-0.30480306774534216,1
DARE,0.8369132535113389,0.37925761293009774,1
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix,0.5624052761055414,0.050661977852490256,1
She's My Collar (feat. Kali Uchis),0.6247934527886772,0.3708763289146149,1
Cracker Island (feat. Thundercat),0.7183757178133809,0.9984865966622438,1
Dirty Harry,-0.005327131710993651,0.052880553033059115,1
Californication,-0.2112081147653418,1.1345592077371423,0
Can't Stop,-0.04899885538918871,0.9733427446157951,0
Scar Tissue,-0.19249166176040103,0.6378448756430839,0
Otherside,-1.0472096823193604,1.0169747231669855,0
Snow (Hey Oh),-1.2406130300370815,0.9161528066277944,0
Dani California,-0.43580555082462996,1.2400647829908675,0
By the Way,-1.0908814059975556,0.604566247934549,0
Give It Away,0.2504643926898631,-0.623291860333691,1
Dark Necessities,0.4625841934125241,0.15123738603828452,1
In Da Club,1.7228253624118666,1.1375173079779008,1
Candy Shop,-0.07395412606244303,-0.1406285043832365,0
Just A Lil Bit,-0.8538063346016398,0.1771207631449229,0
P.I.M.P.,0.4625841934125241,1.0793413365763138,1
Many Men (Wish Death),0.16935976300178657,1.099555021554831,1
Disco Inferno,1.8663181687830788,0.6477052097789462,1
21 Questions,-0.31102919745835905,0.8584698519330006,0
Is This Love ('09) (feat. 50 Cent),1.417123296664501,0.7813127373198788,1
Best Friend - Remix,-0.5044325451760794,0.9518965178702948,0
Screaming Suicide,-1.2530906653737086,0.9718636944954158,0
Yellow,-1.2281353947004543,0.04030862700983478,0
Viva La Vida,-0.8725227876065805,0.06791756259024895,0
Sparks,-1.5899868194626414,-0.7679922637774687,0
Something Just Like This,-0.05523767305750229,0.15320945286545698,0
The Scientist,-0.4295667331563164,0.04104815207002447,0
A Sky Full of Stars,-0.5044325451760794,0.22592941711744063,0
Paradise,-1.1033590413341827,0.15518151969262942,0
Hymn for the Weekend,-0.8413286992650126,0.22272480852328547,0
My Universe,-0.3297456504632998,0.27671013791713106,0
Fix You,-2.6006752817294405,-0.3326585116791528,0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,1.0490330542340005,-0.3883693995467739,1
One More Time,-0.08019294373075661,-0.3025844925647731,0
Instant Crush (feat. Julian Casablancas),0.9304955185360426,-0.5239489939148793,1
Get Lucky (feat. Pharrell Williams & Nile Rodgers),1.148854136927018,-0.49634005833446515,1
Around the World,2.059721516500799,0.512618632117634,1
"Harder, Better, Faster, Stronger",1.1925258606052123,-0.3716068315158083,1
Something About Us,1.5543772853673998,-1.302175865587803,1
Lose Yourself to Dance (feat. Pharrell Williams),1.286108125629916,-0.1078428933814947,1
Digital Love,0.11321040398696436,-0.24835265481753085,1
In the End,-0.43580555082462996,0.37482046256895984,0
Numb,-0.8101346109234447,0.7980753053508447,0
What I've Done,-0.01780476704762081,0.5190278493059445,1
Numb / Encore,0.3814795637244483,0.7731779616577926,1
One Step Closer,-0.8350898815966991,0.7325040833473611,0
Faint,-0.4482831861612571,0.9457338090353811,0
Bleed It Out,-0.6042536278690966,0.9228085321695014,0
Papercut,-0.6354477162106645,0.8372701335408967,0
Crawling,-0.28607392678510474,0.450005510354909,0
BURN IT DOWN,-0.25487983844353684,0.7248623243920678,0
Creep,-0.6915970752254867,-0.6272359939880359,0
